tinestamp,car1_utm_x,car1_utm_y,car1_vel,car1_accel,car1_yaw,car2_utm_x,car2_utm_y,car2_vel_x,car2_vel_y,car2_accel,car2_yaw,estimate_utm_x,estimate_utm_y,estimate_vel_x,estimate_vel_y,estimate_accel,estimate_yaw
1609832171,60205.86606,2974186.211,-0.003415173,0.020141602,2.034308434,60199.73414,2974199.367,0.011739539,0.011144522,0.0469021,2.007670126,60200.06467,2974198.672,0.003350715,0.035699372,0.0069815,#NAME?
1609832171,60205.8645,2974186.209,-0.004598288,-0.040130615,2.034261465,60199.73542,2974199.368,0.012839097,0.012380307,0.016537109,2.007644028,60200.05537,2974198.67,0.010198484,0.034872025,-0.01359228,#NAME?
1609832171,60205.86227,2974186.207,-0.003546342,-0.030059814,2.034277916,60199.73434,2974199.367,0.002213779,0.004254558,0.008297363,2.00757159,60200.0442,2974198.663,-0.000682808,0.037620817,0.003330718,#NAME?
1609832171,60205.86065,2974186.206,-0.005328283,-0.011749268,2.034316301,60199.73077,2974199.365,0.002736905,0.004906846,0.025234619,2.007527914,60200.06474,2974198.674,0.003992917,0.003229679,-0.034185767,#NAME?
1609832171,60205.86135,2974186.206,-0.00687121,-0.005493164,2.034289598,60199.72729,2974199.363,0.003723809,0.006090471,0.027218262,2.007513,60200.05486,2974198.662,-0.012116505,0.006841026,-0.003099582,#NAME?
1609832172,60205.86185,2974186.206,-0.006341221,-0.022125244,2.034290791,60199.72775,2974199.363,0.004775984,0.00729277,0.040188232,2.007498619,60200.03919,2974198.661,0.001261586,0.007070696,-0.035443807,#NAME?
1609832172,60205.86232,2974186.206,-0.007445755,-0.004577637,2.034306288,60199.72833,2974199.364,0.005932833,0.007843475,0.052395264,2.00747252,60200.06542,2974198.665,-0.014423725,-0.011577074,0.009567689,#NAME?
1609832172,60205.86294,2974186.207,-0.009931112,-0.003967285,2.034344435,60199.72899,2974199.365,0.006905428,0.008755101,0.020046631,2.007478379,60200.05724,2974198.666,0.003415671,-0.009266349,-0.012553743,#NAME?
1609832172,60205.86406,2974186.207,-0.009441299,-0.014953613,2.03437376,60199.72976,2974199.366,0.007675075,0.009539523,0.005855957,2.007506608,60200.04795,2974198.662,-0.003944618,-0.007902741,0.024565027,#NAME?
1609832172,60205.86484,2974186.208,-0.009324377,-0.026550293,2.034272194,60199.7306,2974199.367,0.008542852,0.010395757,0.03240625,2.007510337,60200.06254,2974198.669,0.006151418,-0.00196779,-0.010708232,#NAME?
1609832172,60205.86552,2974186.208,-0.002847739,-0.018920898,2.034299374,60199.73154,2974199.368,0.009482148,0.011586977,0.020046631,2.007413398,60200.05553,2974198.66,-0.006966741,0.01942577,-0.010313535,#NAME?
1609832172,60205.86451,2974186.207,-0.00432701,0.005187988,2.03423214,60199.73261,2974199.369,0.010648652,0.012598841,0.011501709,2.007415528,60200.04589,2974198.657,-0.008242849,0.034356131,-0.024992336,#NAME?
1609832172,60205.86144,2974186.205,-0.003964132,-0.029449463,2.034198523,60199.73202,2974199.368,0.002143939,0.003837108,0.027828613,2.007315393,60200.06009,2974198.664,-0.010604027,0.02962108,-0.011929346,#NAME?
1609832172,60205.86048,2974186.205,-0.004728187,-0.027160645,2.034166574,60199.7293,2974199.366,0.003748575,0.004741865,0.029354492,2.007263728,60200.06775,2974198.664,-0.01041438,-0.009633896,0.014384129,#NAME?
1609832172,60205.86081,2974186.205,-0.005454523,0.005187988,2.034181118,60199.72673,2974199.363,0.005116185,0.005683716,0.031490723,2.007318057,60200.05069,2974198.662,0.004737028,-0.012845455,0.028071381,#NAME?
1609832173,60205.86131,2974186.205,-0.007465845,-0.010986328,2.034170866,60199.72714,2974199.363,0.005555832,0.006823653,0.035458008,2.00730048,60200.06105,2974198.667,0.008830908,-0.02290032,0.035223739,#NAME?
1609832173,60205.86189,2974186.206,-0.008172662,-0.035400391,2.03411293,60199.72777,2974199.364,0.006793784,0.007703317,0.011806885,2.007205671,60200.05798,2974198.662,0.00929955,0.00508121,0.021962304,#NAME?
1609832173,60205.8629,2974186.206,-0.008671625,-0.002746582,2.034109116,60199.72854,2974199.365,0.007857571,0.00870871,0.013790527,2.007232303,60200.06288,2974198.668,0.010165137,-0.019142425,0.019758022,#NAME?
1609832173,60205.86351,2974186.206,-0.009246713,-0.022583008,2.034171343,60199.72943,2974199.366,0.008818381,0.010028386,0.062618652,2.007221118,60200.05463,2974198.667,0.011972984,0.015719299,-0.00030583,#NAME?
1609832173,60205.86433,2974186.207,-0.010814646,-0.034637451,2.034178972,60199.73038,2974199.367,0.009614101,0.01135428,0.03744165,2.007139092,60200.06891,2974198.667,0.001519263,-0.008468347,-0.002043268,#NAME?
1609832173,60205.86505,2974186.207,-0.002790647,0.004425049,2.034160376,60199.73143,2974199.368,0.010633077,0.012066722,0.000667969,2.007172648,60200.06974,2974198.672,0.004373776,-0.01019271,-0.007140015,#NAME?
1609832173,60205.86402,2974186.207,-0.004775642,0.004425049,2.034174681,60199.73261,2974199.369,0.012040655,0.01332003,0.018825928,2.007286631,60200.07837,2974198.679,0.005382537,-0.049015261,-0.017241697,#NAME?
1609832173,60205.8614,2974186.205,-0.005396065,-0.026397705,2.034195423,60199.73192,2974199.369,0.002929628,0.004961587,0.018978516,2.007247217,60200.07031,2974198.665,-0.006430506,-0.008933103,-0.006858655,#NAME?
1609832173,60205.86046,2974186.205,-0.006468423,-0.022125244,2.034158707,60199.72923,2974199.366,0.003503961,0.00638938,0.020199219,2.007291425,60200.04684,2974198.664,0.002553566,0.049622011,-0.015256696,#NAME?
1609832173,60205.86086,2974186.205,-0.007590781,-0.007476807,2.034175158,60199.72664,2974199.363,0.004733693,0.007240409,0.051784912,2.007195551,60200.06311,2974198.67,-0.001319347,0.045840381,0.006797543,#NAME?
1609832174,60205.86146,2974186.206,-0.009171746,-0.03692627,2.034199715,60199.7272,2974199.364,0.005715827,0.008311497,0.034847656,2.007118852,60200.06732,2974198.667,0.002540803,0.023015909,0.01333248,#NAME?
1609832174,60205.86207,2974186.206,-0.009699587,-0.011291504,2.03416729,60199.72784,2974199.365,0.006451973,0.010055168,0.011654297,2.007078905,60200.0575,2974198.672,0.012454149,-0.008266906,0.018841995,#NAME?
1609832174,60205.86298,2974186.207,-0.010572442,-0.002593994,2.034144163,60199.7286,2974199.366,0.0080845,0.010886886,0.027676025,2.007072513,60200.05763,2974198.671,0.011790362,0.008089493,0.022603307,#NAME?
1609832174,60205.86385,2974186.208,-0.012383037,-0.007629395,2.034182549,60199.72948,2974199.367,0.008424741,0.011609128,0.025844971,2.007078905,60200.06255,2974198.67,0.013375681,0.015897742,-0.016582538,#NAME?
1609832174,60205.86462,2974186.208,-0.013335079,0.001220703,2.034178257,60199.73035,2974199.368,0.008290499,0.01356101,0.03530542,2.007164659,60200.06049,2974198.669,-0.00151273,0.01744586,-0.031851731,#NAME?
